Name,Gender,Location,Birthdate,Blood Group,Phone,Department,Enrolled Year,Completed Credits,Current CGPA
Monica Palmer,Male,Banasree,"Tue, Dec 04, 2001",A+,+880175923982,Archi,2023,6,3.95
Jessica Acosta,Male,Motijheel,"Sun, Feb 03, 2002",A+,+880153483963,ENH,2020,81,2.85
Lindsay Pena,Female,Banani,"Tue, Oct 17, 2000",B-,+880194180669,ENH,2018,96,1.76
Heather Morgan,Male,Gulshan,"Sat, Aug 24, 2002",AB+,+880170615727,BBS,2022,54,1.51
Katie Flores,Male,Mirpur,"Wed, Jan 15, 2003",O-,+880141472430,MNS,2019,81,3.96
Richard Smith,Male,Shyampur,"Sun, Feb 16, 2003",A+,+880180153130,MNS,2016,132,1.83
Melissa Lucas,Female,Badda,"Fri, Jul 27, 2001",O-,+880180577351,ENH,2022,45,2.80
Anthony Thompson,Male,Sadarghat,"Sat, Aug 26, 2000",O-,+880176806107,CSE,2018,90,2.49
Cindy Williams,Female,Hazaribagh,"Thu, Mar 09, 2000",AB+,+880132123032,Archi,2021,57,3.89
Tammy Simmons,Male,Bashundhara,"Wed, Sep 18, 2002",O-,+880176626282,BBS,2015,129,1.53
Michael Smith,Male,Dhanmondi,"Wed, Jul 19, 2000",AB+,+880177929552,EEE,2020,78,1.77
Maria Carrillo,Female,Kafrul,"Mon, Jul 26, 1999",B-,+880144481585,Pharma,2023,18,3.39
Kathleen Peck,Male,Uttarkhan,"Fri, Mar 23, 2001",AB-,+880156088779,ENH,2021,39,2.41
Rachel Johnson,Female,Kamalapur,"Thu, Apr 29, 1999",A-,+880198492602,Law,2018,84,3.34
Kathleen Carter,Male,Jurain,"Tue, Jan 25, 2000",AB-,+880186750657,ESS,2016,129,2.98
Jeffrey Proctor,Female,Uttarkhan,"Sun, Sep 30, 2001",A+,+880150834228,BBS,2018,102,3.34
Richard Lee,Female,Vatara,"Tue, Sep 03, 2002",O-,+880134940296,BBS,2021,48,2.60
Denise Moore,Male,Badda,"Tue, Jul 25, 2000",A+,+880175273736,MNS,2022,36,2.50
Jason Shepard,Female,Kazipara,"Sat, Aug 14, 1999",O-,+880149345849,MNS,2023,9,1.91
Christina Taylor,Female,Baridhara,"Sun, Aug 20, 2000",A+,+880180953933,Pharma,2019,72,2.13
Tammie Wright,Female,Bashundhara,"Sun, Jul 05, 1998",O-,+880137220390,Archi,2018,114,1.85
Alan Hall,Male,Kamalapur,"Sun, Jan 26, 2003",B+,+880186952556,ESS,2021,27,2.15
Karen Rosales,Male,Agargaon,"Sun, Sep 13, 1998",B+,+880165005834,EEE,2018,69,2.63
Shane Williams,Male,Lalbagh,"Fri, Jan 19, 2001",AB-,+880139185485,BBS,2021,33,2.53
Joseph Gonzales,Male,Jurain,"Sat, Jul 15, 2000",B+,+880170220173,ENH,2018,99,2.14
Devin Garcia,Male,Kafrul,"Sun, Jul 26, 1998",AB+,+880171715169,MNS,2015,136,3.17
Nicole Hall,Female,Hazaribagh,"Sun, Nov 03, 2002",A+,+880187682441,Archi,2016,132,1.78
Tamara Morales,Female,Kamrangirchar,"Mon, Aug 05, 2002",A+,+880186185054,MNS,2021,45,2.57
Bruce Smith,Male,Kazipara,"Thu, Oct 05, 2000",O-,+880159661056,BBS,2016,126,3.16
Cassandra Bernard,Male,Farmgate,"Mon, Mar 31, 2003",A+,+880165368383,BBS,2022,33,3.70
Jason Nelson,Male,Beraid,"Wed, Apr 11, 2001",O-,+880195539322,Pharma,2015,136,3.25
Daniel Wu,Male,Shahbagh,"Sun, Dec 08, 2002",AB-,+880141681768,Law,2018,108,2.66
Crystal Hardy,Male,Rampura,"Tue, Oct 22, 2002",B+,+880156824671,Law,2022,24,1.65
John Clark PhD,Male,Motijheel,"Wed, May 03, 2000",B-,+880195452311,CSE,2016,126,3.70
Stephen Wilkinson,Female,Sher-e-Bangla Nagar,"Wed, Feb 02, 2000",B-,+880159917999,EEE,2022,45,1.95
Jessica Sanchez,Female,Abdullahpur,"Tue, Feb 16, 1999",A+,+880158733791,Pharma,2022,48,1.89
Tony Clark,Female,Jurain,"Thu, Aug 01, 2002",A-,+880183661120,ESS,2018,63,1.50
Hannah Weaver,Female,Baridhara,"Tue, Aug 29, 2000",O-,+880193712410,ESS,2023,9,3.27
Allison Hale,Female,Agargaon,"Sun, Aug 13, 2000",AB-,+880160163372,MNS,2018,108,2.61
Kristin Wong,Female,Nimtoli,"Sun, Jan 26, 2003",A+,+880175190951,CSE,2019,99,2.15
Lauren Perez,Female,Beraid,"Thu, May 14, 1998",B+,+880191143843,BBS,2023,18,2.02
Brandy Perry,Female,Khilkhet,"Fri, Mar 23, 2001",AB+,+880140088779,Archi,2017,123,1.83
Cristina Olson,Male,Uttarkhan,"Wed, Jul 26, 2000",A-,+880198681611,Archi,2021,30,2.05
Diana Peters,Female,Mohammadpur,"Mon, Apr 30, 2001",A-,+880167873625,MNS,2018,72,3.64
Bryan Roy,Female,Badda,"Sun, Oct 08, 2000",AB-,+880184802182,Law,2019,75,2.31
Ricky Franklin,Female,Mirpur,"Fri, Dec 17, 1999",AB+,+880173729282,CSE,2018,84,1.59
Philip Reid,Female,Kafrul,"Fri, Apr 07, 2000",A-,+880147326975,MNS,2023,3,3.58
Gary Sanchez,Male,Motijheel,"Sun, Jan 05, 2003",O-,+880146139479,Archi,2021,27,1.77
Jennifer Burch,Male,Banasree,"Fri, Oct 02, 1998",A-,+880175495694,Archi,2015,126,3.30
Jerry Jones,Male,Ramna,"Sun, Jun 02, 2002",B+,+880153289085,CSE,2017,132,3.98
Rita Meadows,Female,Mohakhali,"Mon, Apr 15, 2002",B+,+880170982057,CSE,2016,136,3.64
Christopher Walsh,Female,Khilkhet,"Mon, Nov 05, 2001",O+,+880160558327,ENH,2021,48,2.40
Joseph Lewis,Male,Kazipara,"Sat, Aug 04, 2001",B-,+880168553574,ESS,2022,33,1.72
Sarah Moore,Male,Uttara,"Fri, Jul 14, 2000",O-,+880132168320,ESS,2020,78,1.85
Corey Hawkins,Female,Bashundhara,"Tue, Nov 23, 1999",O+,+880141771956,Archi,2019,111,2.78
Christine Lawson,Male,Mirpur,"Mon, Jul 03, 2000",A-,+880199741011,Archi,2015,132,2.84
Joseph Coleman,Male,Gabtali,"Thu, Mar 22, 2001",A-,+880177307160,EEE,2017,126,3.76
Mackenzie Jackson,Female,Tejgaon,"Wed, Feb 05, 2003",A-,+880187896465,MNS,2020,78,3.20
Jordan Finley,Male,Sher-e-Bangla Nagar,"Mon, Feb 17, 2003",A+,+880199511567,CSE,2022,33,3.37
Susan Walsh,Male,Farmgate,"Tue, Feb 08, 2000",O-,+880176672784,Archi,2015,123,3.77
Elizabeth Davis,Male,Shyampur,"Sat, Apr 24, 1999",A+,+880154800967,ESS,2019,108,3.95
Jessica Parks,Female,Cantonment area,"Wed, Jan 20, 1999",A-,+880151257649,CSE,2023,9,2.33
Susan Ferguson,Male,Banasree,"Thu, Dec 23, 1999",O+,+880199440691,Archi,2020,120,3.74
Connie Reynolds,Male,Motijheel,"Sat, Jun 20, 1998",O-,+880143593492,Archi,2016,126,1.92
Paul Hayes,Male,Bashundhara,"Wed, Nov 28, 2001",A+,+880140600317,MNS,2019,66,1.64
David Perkins,Male,Sher-e-Bangla Nagar,"Thu, Jun 21, 2001",AB+,+880181171879,Pharma,2022,33,2.55
Emily Adams,Male,Khilkhet,"Wed, Mar 17, 1999",O-,+880142311607,ESS,2018,96,2.14
Shannon Ross,Female,Jurain,"Tue, Jan 11, 2000",A+,+880170196484,CSE,2017,123,3.92
Duane Johnson,Male,Kafrul,"Tue, Apr 21, 1998",AB-,+880162621230,Pharma,2023,18,3.18
Paul Allen,Female,Hazaribagh,"Wed, May 30, 2001",B-,+880181228324,BBS,2021,45,2.34
Joseph Willis,Female,Vatara,"Thu, Sep 03, 1998",B+,+880155216341,Archi,2022,39,2.15
Brandon Lawson,Male,Khilkhet,"Mon, Feb 10, 2003",A-,+880131576990,Pharma,2020,66,2.18
Brian Reed,Female,Dakshinkhan,"Tue, Jul 25, 2000",AB+,+880182037520,CSE,2023,18,3.15
Michael Hayes,Female,Gulshan,"Sat, Dec 09, 2000",O+,+880184292501,Law,2016,136,2.46
James Fowler,Male,Khilkhet,"Mon, Feb 08, 1999",B-,+880162983252,ESS,2016,126,1.54
Angela Wallace,Female,Pallabi,"Fri, Feb 26, 1999",O+,+880136691318,Archi,2020,75,2.95
Richard Davis,Male,Banani,"Tue, Apr 10, 2001",AB-,+880177602825,Archi,2018,120,2.38
Nicole Wright,Male,Baridhara,"Tue, Oct 09, 2001",AB+,+880158981955,BBS,2020,102,2.35
Amanda Cummings,Male,Jurain,"Tue, Jan 04, 2000",B-,+880130978464,EEE,2015,132,3.53
Donald Arnold,Female,Sher-e-Bangla Nagar,"Mon, Jul 20, 1998",AB-,+880142944308,ESS,2018,102,3.80
Scott Ryan,Male,Rampura,"Wed, Nov 15, 2000",O+,+880170749701,Law,2023,6,1.53
John Wilson,Male,Wari,"Sat, Jan 23, 1999",A+,+880160807087,Law,2021,33,2.67
Kimberly Edwards,Female,Kamalapur,"Sun, Mar 05, 2000",B-,+880181158981,MNS,2020,78,1.94
Christopher Baker,Female,Beraid,"Wed, Sep 25, 2002",O-,+880133557445,ENH,2022,45,3.52
Melissa Porter,Male,Shyampur,"Thu, Jan 24, 2002",A-,+880166803661,Archi,2016,132,1.75
Mr. Steven Newton II,Male,Baridhara,"Thu, Dec 13, 2001",B+,+880130667722,CSE,2020,102,3.42
Christopher Edwards,Female,Demra,"Fri, Aug 02, 2002",B+,+880134548994,EEE,2018,93,3.92
Donald Nelson,Male,Jurain,"Tue, Mar 05, 2002",A+,+880185865214,ESS,2019,99,1.85
John Perkins,Female,Lalbagh,"Tue, Mar 14, 2000",AB+,+880157544826,MNS,2015,123,1.61
Devin Walker,Female,Bashundhara,"Mon, Nov 30, 1998",B-,+880137059604,Law,2019,99,2.16
Edward Fields,Male,Vatara,"Sat, Jul 28, 2001",A-,+880147663454,Law,2022,24,2.15
Tabitha Smith,Female,Khilgaon,"Sun, May 20, 2001",O-,+880184518557,Pharma,2019,93,2.77
Stephen West,Female,Kamrangirchar,"Thu, Jan 14, 1999",A+,+880157053771,Law,2018,114,2.21
Jerry Wheeler,Female,Dakshinkhan,"Thu, Aug 13, 1998",A+,+880147794924,Pharma,2023,18,3.45
Ronald Howell,Female,Motijheel,"Sun, Aug 25, 2002",A+,+880180197436,EEE,2020,66,1.58
Glenn Franco,Male,Agargaon,"Thu, Apr 29, 1999",A+,+880154578826,Law,2015,123,3.71
Bailey Anderson,Male,Bashundhara,"Tue, Sep 03, 2002",B-,+880145385852,ENH,2015,132,3.45
Samantha Bowman,Male,Kazipara,"Sat, Jan 01, 2000",B+,+880165472144,MNS,2023,3,2.06
Teresa Schaefer,Female,Baridhara,"Thu, May 04, 2000",AB-,+880136664831,ESS,2016,136,2.97
Jonathan Byrd,Female,Dhanmondi,"Thu, Aug 08, 2002",A+,+880140439362,MNS,2016,132,1.58
John Schroeder,Female,Gulshan,"Mon, Dec 18, 2000",O+,+880152215191,ESS,2022,51,3.21
Hannah Downs,Male,Mohakhali,"Mon, Feb 18, 2002",O+,+880179467673,ENH,2023,12,2.72
Lauren Jensen,Male,Dhanmondi,"Mon, Sep 30, 2002",AB+,+880158304209,Archi,2020,66,1.95
Deborah Dennis,Female,Shyampur,"Sun, Jul 14, 2002",AB+,+880138139466,Archi,2022,54,1.98
Helen Hicks,Female,Pallabi,"Wed, May 05, 1999",AB+,+880149691368,ENH,2016,136,1.71
Ana Richards,Male,Ramna,"Fri, Dec 25, 1998",AB+,+880155738881,Pharma,2018,75,3.48
Jennifer Johnson,Female,Dhanmondi,"Fri, Jul 14, 2000",O-,+880151021176,EEE,2020,75,3.67
Hannah Robinson,Male,Dakshinkhan,"Wed, Dec 27, 2000",AB-,+880178884188,EEE,2020,108,2.70
April Blair,Male,Vatara,"Mon, Oct 15, 2001",B+,+880168844104,EEE,2017,129,2.95
Dr. Jennifer Smith,Female,Jurain,"Mon, Dec 09, 2002",B-,+880197687796,MNS,2018,117,3.65
Shawn Leon,Male,Beraid,"Thu, Oct 11, 2001",B+,+880188232924,EEE,2015,136,1.50
Kendra Bailey,Male,Kamrangirchar,"Tue, Sep 12, 2000",B-,+880137444917,BBS,2018,78,3.46
Andrew Harrell,Female,Mohammadpur,"Mon, Feb 12, 2001",B-,+880141214820,Pharma,2019,63,2.78
Stephen Walker,Male,Sher-e-Bangla Nagar,"Mon, Dec 25, 2000",AB-,+880169299729,ESS,2022,60,3.41
Megan Duke,Female,Gabtali,"Sun, Aug 16, 1998",AB-,+880170435733,Law,2023,15,2.84
Joshua Grant,Female,Kafrul,"Fri, Oct 02, 1998",A+,+880177219492,Law,2017,123,3.18
Dennis Davis,Female,Sadarghat,"Wed, Aug 05, 1998",AB-,+880159678361,MNS,2017,129,1.59
Audrey Leach,Female,Beraid,"Sat, Dec 07, 2002",B-,+880130161326,EEE,2020,114,2.59
Kyle Mccormick,Male,Pallabi,"Tue, Sep 12, 2000",A+,+880153325240,Law,2015,123,2.36
Elizabeth Bailey,Female,Shahbagh,"Mon, Nov 15, 1999",B-,+880169623663,CSE,2023,18,2.45
Mr. Nathaniel Rivera,Female,Farmgate,"Mon, Apr 29, 2002",B-,+880171951850,EEE,2020,105,2.52
Karen Williams,Female,Motijheel,"Wed, Aug 12, 1998",B+,+880138057122,EEE,2019,84,1.82
Eric Clayton,Male,Cantonment area,"Sun, Jun 02, 2002",B-,+880141288293,EEE,2020,108,2.33
Joseph Thomas,Male,Kamrangirchar,"Mon, Jun 10, 2002",O+,+880183701362,ESS,2019,117,3.75
Paula Christensen,Female,Banasree,"Tue, Feb 26, 2002",A+,+880190294232,MNS,2019,111,1.97
Jillian Simpson,Female,Agargaon,"Fri, Jun 22, 2001",AB-,+880140076709,CSE,2020,63,2.49
Stephanie Schwartz,Female,Rampura,"Fri, Dec 14, 2001",A+,+880130234018,CSE,2015,126,1.54
Hannah Young,Male,Mirpur,"Sat, Aug 18, 2001",AB-,+880141732524,Archi,2023,3,2.46
Wendy Stanton,Female,Beraid,"Mon, Jan 29, 2001",B+,+880140220695,MNS,2019,90,2.29
Todd Franklin,Male,Agargaon,"Thu, Apr 23, 1998",O+,+880176243929,ESS,2018,69,3.58
Robert White,Male,Mirpur,"Thu, Mar 21, 2002",O+,+880153171892,BBS,2022,30,2.97
Shelby Fletcher PhD,Female,Vatara,"Tue, Jun 20, 2000",A-,+880153978388,MNS,2020,78,2.46
Laura Giles,Male,Baridhara,"Tue, Aug 13, 2002",AB+,+880147974196,EEE,2021,42,3.98
Joseph Campbell,Female,Beraid,"Wed, Dec 05, 2001",A-,+880165781442,MNS,2023,3,3.56
Bryan Anderson,Female,Motijheel,"Tue, Jun 29, 1999",AB+,+880185660191,Archi,2015,123,2.39
Nathaniel Preston,Female,Wari,"Sat, Mar 20, 1999",AB+,+880161265245,BBS,2023,21,3.10
Whitney Marsh,Male,Lalbagh,"Fri, Aug 13, 1999",O-,+880166243634,Pharma,2023,6,3.97
Roberto Webb,Female,Agargaon,"Wed, May 24, 2000",A-,+880183016585,Pharma,2016,132,1.52
Jennifer Hale,Male,Dhanmondi,"Wed, Apr 12, 2000",O+,+880194015415,EEE,2015,126,1.70
Linda Williams,Female,Badda,"Sun, Jan 24, 1999",O-,+880131501962,Archi,2015,123,2.04
Angela Medina,Female,Uttarkhan,"Sat, Oct 09, 1999",AB+,+880159159516,ESS,2022,42,3.16
Rachel Bennett,Female,Farmgate,"Fri, Jun 26, 1998",B+,+880185957875,Law,2020,75,1.70
Eric Pace,Female,Sadarghat,"Sat, Feb 16, 2002",AB+,+880139252010,MNS,2020,105,2.51
Alejandro Woodward,Female,Banani,"Sat, Oct 07, 2000",A-,+880181977819,Archi,2018,93,3.50
Margaret Miller,Male,Kazipara,"Sun, Sep 01, 2002",A-,+880135335323,ESS,2020,84,3.24
Michael Watson,Male,Demra,"Fri, Apr 20, 2001",O+,+880145836395,MNS,2021,36,1.53
Jennifer Dickson,Male,Agargaon,"Mon, Mar 15, 1999",AB+,+880196495871,Law,2019,66,2.59
Blake Griffin,Female,Gulshan,"Wed, Jan 10, 2001",AB-,+880164750676,Archi,2022,39,2.96
Charles Roberts,Female,Bashundhara,"Fri, Feb 19, 1999",A+,+880174516108,ESS,2016,123,3.03
Elizabeth Rodriguez,Female,Wari,"Sat, Dec 29, 2001",O+,+880166388657,BBS,2017,123,2.97
Kenneth Lopez,Male,Bashundhara,"Sun, Jan 13, 2002",B-,+880173244257,BBS,2019,78,2.87
Stephen Wilson,Female,Banani,"Thu, Jun 15, 2000",A+,+880147228112,Archi,2021,42,1.85
Michael Anderson,Male,Badda,"Wed, Dec 18, 2002",B+,+880175678513,MNS,2022,57,3.61
Dana Livingston,Female,Nimtoli,"Mon, Mar 05, 2001",O+,+880165825226,Law,2016,136,3.38
Shelly Navarro,Male,Agargaon,"Fri, May 26, 2000",O-,+880152247136,ENH,2021,54,2.85
Jeffrey Finley,Male,Kafrul,"Fri, Dec 13, 2002",O+,+880131279016,Archi,2020,78,3.98
Richard Russell,Male,Nimtoli,"Sun, May 31, 1998",AB+,+880152227982,ESS,2017,136,3.85
Timothy Warner,Female,Kazipara,"Sun, Sep 09, 2001",O-,+880143799562,BBS,2015,132,1.82
Jennifer Hogan,Female,Uttarkhan,"Fri, Dec 14, 2001",A-,+880165580623,EEE,2016,136,2.10
Jimmy Miller,Male,Uttara,"Fri, Aug 30, 2002",A+,+880142419901,CSE,2015,136,2.38
Brianna Cooper,Female,Farmgate,"Wed, Jun 09, 1999",B+,+880153881093,ESS,2018,72,1.83
Christopher Campbell,Female,Baridhara,"Wed, Sep 18, 2002",AB+,+880176386332,BBS,2018,120,2.67
Donna Gray,Female,Baridhara,"Mon, Jun 12, 2000",AB+,+880176788194,BBS,2018,117,1.78
Zachary Romero,Male,Demra,"Sat, May 16, 1998",B-,+880135967666,ENH,2015,126,2.44
Christopher Diaz,Male,Beraid,"Fri, Dec 04, 1998",A-,+880154627130,EEE,2018,111,2.45
Lisa Price,Female,Dhanmondi,"Sun, Dec 19, 1999",O+,+880176492419,Law,2020,84,2.80
David Valenzuela,Male,Dhanmondi,"Tue, Jul 17, 2001",O-,+880188722380,Law,2016,126,1.50
Joseph Sexton,Female,Rampura,"Fri, Feb 26, 1999",AB-,+880185054740,Law,2022,60,3.19
Steven Torres,Male,Khilkhet,"Fri, Mar 21, 2003",O+,+880184764533,MNS,2021,48,2.64
Hector Brooks,Male,Beraid,"Fri, May 24, 2002",B+,+880155486305,Archi,2021,51,1.52
Michael Ray,Female,Uttarkhan,"Tue, May 22, 2001",O+,+880142704350,ENH,2019,108,2.97
Christopher Vasquez,Male,Vatara,"Sat, Feb 05, 2000",A+,+880159421886,BBS,2015,123,2.33
Laura Sweeney,Female,Pallabi,"Fri, Nov 10, 2000",B+,+880197954926,MNS,2016,132,3.27
Leah Hoover,Female,Lalbagh,"Wed, May 06, 1998",A-,+880166193912,Archi,2018,117,3.89
Jessica Jones,Female,Mohammadpur,"Mon, Jan 01, 2001",O-,+880158968411,Pharma,2015,132,1.53
Stephen Reid,Female,Lalbagh,"Thu, Apr 22, 1999",B+,+880172929147,EEE,2022,54,3.69
Stephanie Leonard,Female,Banani,"Fri, Aug 25, 2000",A+,+880166940337,EEE,2019,102,2.64
Miss Emily Howard,Male,Lalbagh,"Wed, Dec 12, 2001",O-,+880186750351,Archi,2016,123,1.65
Lisa Wells,Male,Pallabi,"Sun, Apr 08, 2001",AB+,+880190614353,EEE,2023,3,1.57
Judy Henderson,Male,Farmgate,"Thu, Jun 20, 2002",AB+,+880198053335,Pharma,2023,18,2.03
Hannah Johnson,Male,Baridhara,"Sun, Apr 14, 2002",AB+,+880189667652,EEE,2020,111,2.27
Stephanie Wells,Female,Khilgaon,"Tue, Jul 03, 2001",AB-,+880131717234,BBS,2023,12,1.80
Mary Obrien,Female,Banani,"Tue, Apr 14, 1998",AB-,+880190995381,ENH,2021,42,3.37
Kristina Miller,Male,Pallabi,"Sun, Dec 26, 1999",O+,+880136223474,ENH,2018,111,1.70
Christopher Maldonado,Male,Sadarghat,"Wed, Feb 03, 1999",O+,+880156066523,Archi,2023,12,2.38
Jennifer Lopez,Male,Khilgaon,"Wed, Mar 28, 2001",B-,+880133807241,EEE,2020,90,1.94
Kathleen Simpson,Male,Uttarkhan,"Sun, Jun 09, 2002",O-,+880192989792,Pharma,2015,136,2.89
Robert Miller,Female,Cantonment area,"Fri, Sep 22, 2000",AB+,+880173651502,MNS,2023,12,2.88
Dylan Ellis,Female,Ramna,"Fri, Sep 24, 1999",B-,+880144547016,EEE,2023,21,1.61
David Grant,Female,Motijheel,"Fri, Jun 22, 2001",AB+,+880130057255,BBS,2016,129,1.55
David Herrera,Male,Demra,"Wed, Apr 29, 1998",B+,+880163963658,CSE,2020,90,2.47
Paul Diaz,Female,Tejgaon,"Tue, Nov 28, 2000",B+,+880163757832,EEE,2023,21,2.84
Crystal Freeman,Female,Tejgaon,"Sun, Sep 06, 1998",A+,+880130893689,BBS,2018,96,1.81
Wanda Bell,Male,Mohakhali,"Fri, Jan 22, 1999",O+,+880167490070,Law,2015,126,1.93
Thomas Alexander,Female,Shahbagh,"Sat, Dec 21, 2002",B+,+880162631275,MNS,2016,126,1.60
Amber Zamora,Male,Gabtali,"Fri, Feb 09, 2001",O+,+880130826260,Law,2015,136,1.97
Todd Barber,Male,Pallabi,"Wed, Mar 03, 1999",A+,+880198358852,BBS,2016,136,3.95
Casey Brown,Female,Badda,"Mon, Apr 08, 2002",AB-,+880138866307,ESS,2016,129,2.78
Shaun Murphy,Male,Mirpur,"Mon, Apr 15, 2002",B-,+880132157915,CSE,2016,132,1.56
